step,ego_vid,cri_left,cri_right,alert_left,alert_right,scenario_type,top_threat,top_cri
574,16,0.4114772843010854,0.0,CAUTION,SAFE,normal,7,0.4114772843010854
577,bsp_36,0.36647918039817035,6.271771122644554e-75,CAUTION,SAFE,normal,bsp_34,0.36647918039817035
589,bsd_demo_13,0.755654504222362,0.0,WARNING,SAFE,normal,33,0.755654504222362
590,bsd_demo_13,0.7256071239669389,0.0,WARNING,SAFE,normal,33,0.7256071239669389
591,bsd_demo_13,0.6562685044880765,0.0,WARNING,SAFE,normal,33,0.6562685044880765
592,bsd_demo_13,0.61861606671106,0.0,WARNING,SAFE,normal,33,0.61861606671106
593,bsd_demo_13,0.5581072035295411,0.0,CAUTION,SAFE,normal,33,0.5581072035295411
594,bsd_demo_13,0.39232334754713105,0.0,CAUTION,SAFE,normal,33,0.39232334754713105
594,bsd_demo_8,0.0,0.7004693282827321,SAFE,WARNING,normal,bsd_demo_7,0.7004693282827321
595,bsd_demo_14,0.0,0.6534097189296033,SAFE,WARNING,normal,33,0.6534097189296033
595,bsd_demo_8,0.0,0.7338599285030306,SAFE,WARNING,normal,bsd_demo_7,0.7338599285030306
596,bsd_demo_14,0.0,0.5666808702265634,SAFE,CAUTION,normal,33,0.5666808702265634
596,bsd_demo_8,0.0,0.6920864238622549,SAFE,WARNING,normal,bsd_demo_7,0.6920864238622549
597,bsd_demo_8,0.0,0.6444351493389446,SAFE,WARNING,normal,bsd_demo_7,0.6444351493389446
598,bsd_demo_7,0.7095138357156502,0.0,WARNING,SAFE,normal,bsd_demo_8,0.7095138357156502
598,bsd_demo_8,0.0,0.5177630008425405,SAFE,CAUTION,normal,bsd_demo_7,0.5177630008425405
599,bsd_demo_7,0.7054452856189694,0.0,WARNING,SAFE,normal,bsd_demo_8,0.7054452856189694
599,bsd_demo_8,0.0,0.35301313799666595,SAFE,CAUTION,normal,bsd_demo_7,0.35301313799666595
600,bsd_demo_7,0.7192465467365644,0.0,WARNING,SAFE,TSV,bsd_demo_8,0.7192465467365644
624,bsp_38,0.6428628907060009,0.0,WARNING,SAFE,TSV,bsp_34,0.6428628907060009
625,bsp_38,0.7382644530306636,0.0,WARNING,SAFE,TSV,bsp_34,0.7382644530306636
626,bsp_38,0.5743720426839111,0.0,CAUTION,SAFE,TSV,bsp_34,0.5743720426839111
627,bsp_38,0.3177863675979571,0.0,CAUTION,SAFE,TSV,bsp_34,0.3177863675979571
627,bsp_39,0.0,0.7255810418689276,SAFE,WARNING,TSV,bsp_36,0.7255810418689276
